"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"deduced";"выводить";;"dɪdjˈuːst";"This is an antipattern, because the intent of the programmer cannot be <b>deduced</b> from the code.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGVkdWNlZA==2e93c0aa.mp3]";"This is an antipattern, because the intent of the programmer cannot be {{c1::deduced}} from the code.";;"Слова из интернета"
"bloated";"жирный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/162424.png'>";"bloutɪd";"Controller actions are <b>bloated</b> despite our attempts to keep them skinny, and even when they look skinny, it is often an illusion.";"[sound:https://audiocdn.lingualeo.com/v2/1/YmxvYXRlZA==64919fda.mp3]";"Controller actions are {{c1::bloated}} despite our attempts to keep them skinny, and even when they look skinny, it is often an illusion.";;"Слова из интернета"
"eyesore";"бельмо на глазу";;"ˈaɪsɔː";"Controllers are often the <b>eyesore</b> of a Rails application.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXllc29yZQ==e9a27384.mp3]";"Controllers are often the {{c1::eyesore}} of a Rails application.";;"Слова из интернета"
"posses";"обладать. обладать";;"pˈɒsɪz";"“I want to be honored, I want to be respected, I want to acquire and <b>posses</b>, I am the enjoyer";"[sound:https://audiocdn.lingualeo.com/v2/1/cG9zc2Vza07bcd3b.mp3]";"“I want to be honored, I want to be respected, I want to acquire and {{c1::posses}}, I am the enjoyer";;"Мой словарь"
"to aim";"стремиться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/185036.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYWltd2ef398d.mp3]";;;"Мой словарь"
"liability";"обязательство";"<img src='https://contentcdn.lingualeo.com/uploads/picture/464035.png'>";"ˌlaɪəˈbɪlɪti";"The animals became a responsibility and a <b>liability</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/bGlhYmlsaXR52a7c1518.mp3]";"The animals became a responsibility and a {{c1::liability}}.";;"Мой словарь"
"hand down";"передавать по наследству";"<img src='https://contentcdn.lingualeo.com/uploads/picture/126214.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/aGFuZCBkb3du55909b80.mp3]";;;"Мой словарь"
"existential";"относящийся к существованию, реальности";;"ɛgsɪstˈenʃl";"(b) The <b>Existential</b> sense of the Perfect, used to indicate the existence of past events,";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXhpc3RlbnRpYWw=56bf64fe.mp3]";"(b) The {{c1::Existential}} sense of the Perfect, used to indicate the existence of past events,";;"Слова из интернета"
"princeton";"Принстон";;"ˈprɪnstən";"Madonna has visited <b>Princeton</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/cHJpbmNldG9uaa70dd07.mp3]";"Madonna has visited {{c1::Princeton}}.";;"Слова из интернета"
"throw-away";"одноразовый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2051401.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dGhyb3ctYXdheQ==00d92382.mp3]";;;"Мой словарь"
"cf.";"compare with";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/Y2Yue1cbf31c.mp3]";;;"Мой словарь"
"handheld";"портативный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3398095.png'>";"ˈhændˈhɛld";;"[sound:https://audiocdn.lingualeo.com/v2/1/aGFuZGhlbGQ=3cd65d0c.mp3]";;;"Мой словарь"
"no-nonsense";"деловой";"<img src='https://contentcdn.lingualeo.com/uploads/picture/75198.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/bm8tbm9uc2Vuc2U=f99e525d.mp3]";;;"Мой словарь"
"painstakingly";"старательно";;"pˈeɪːnztɛɪːkɪŋli";"A computer keyboard that you can only buy a couple times per year, that you can't purchase in any store, which took three months to arrive after I placed the order, that I had to <b>painstakingly</b> solder together myself.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGFpbnN0YWtpbmdseQ==eb6f6817.mp3]";"A computer keyboard that you can only buy a couple times per year, that you can't purchase in any store, which took three months to arrive after I placed the order, that I had to {{c1::painstakingly}} solder together myself.";;"Слова из интернета"
"that said";"тем не менее";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3676646.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dGhhdCBzYWlk49ac39d5.mp3]";;;"Мой словарь"
"bit the bullet";"решиться, осмелиться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2828380.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/Yml0IHRoZSBidWxsZXQ=8968cdc6.mp3]";;;"Мой словарь"
"to spit";"плевать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/214541.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gc3BpdA==58920a05.mp3]";;;"Мой словарь"
"the main one";"основной";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1638382.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dGhlIG1haW4gb25lbb5a68c4.mp3]";;;"Мой словарь"
"accomplish";"Выполнять";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3226451.png'>";"əˈkɑmplɪʃ";"By working out, you improve your physcial appearance, energize yourself, and <b>accomplish</b> something positive.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNjb21wbGlzaA==e538df11.mp3]";"By working out, you improve your physcial appearance, energize yourself, and {{c1::accomplish}} something positive.";;"Слова из интернета"
"hijacking";"ограбление";;"ˈhaɪˌʤækɪŋ";"<b>HIJACKING</b> RUBY SYNTAX IN RUBY RubyKaigi 2018 Sendai #rubykaigi 2018/05/31 (Fri) @joker1007 ";"[sound:https://audiocdn.lingualeo.com/v2/1/aGlqYWNraW5n1fef3f4f.mp3]";"{{c1::HIJACKING}} RUBY SYNTAX IN RUBY RubyKaigi 2018 Sendai #rubykaigi 2018/05/31 (Fri) @joker1007 ";;"Слова из интернета"
"squash";"сжимать";;"skwɑʃ";"How can I <b>squash</b> my last X commits together into one commit using Git?";"[sound:https://audiocdn.lingualeo.com/v2/1/c3F1YXNo5800ef7c.mp3]";"How can I {{c1::squash}} my last X commits together into one commit using Git?";;"Слова из интернета"
"anniversary";"годовщина";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3060198.png'>";"ˌænəˈvɜrsəri";"- Oh, it's our wedding <b>anniversary</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/YW5uaXZlcnNhcnk=c9b317d9.mp3]";"- Oh, it's our wedding {{c1::anniversary}}.";;"Мой словарь"
"decent";"Подходящий";;"ˈdisənt";"I think http://hasno.info/ruby-gotchas-and-caveats has a <b>decent</b> explanation of the difference:";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGVjZW503f494bb1.mp3]";"I think http://hasno.info/ruby-gotchas-and-caveats has a {{c1::decent}} explanation of the difference:";;"Слова из интернета"
"tentative";"Пробный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/648241.png'>";"tˈentətɪv";"...of the old, sure smile that flashed on easily and frequently as a photographer’s bulb, his face was grave, even <b>tentative</b>  —  the face of a man who often does not get what he wants.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGVudGF0aXZlfc5a91df.mp3]";"...of the old, sure smile that flashed on easily and frequently as a photographer’s bulb, his face was grave, even {{c1::tentative}}  —  the face of a man who often does not get what he wants.";;"Мой словарь"
"federation";"объединение";;"ˌfɛdəˈreɪʃən";"republic, state, kingdom, <b>federation</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmVkZXJhdGlvbg==831d5d39.mp3]";"republic, state, kingdom, {{c1::federation}}";;"Мой словарь"
"enqueuing";"отправка в очередь";;"ɪŋkwjˈuːɪŋ";"<b>Enqueuing</b> Jobs";"[sound:https://audiocdn.lingualeo.com/v2/1/ZW5xdWV1aW5n4cd6769e.mp3]";"{{c1::Enqueuing}} Jobs";;"Слова из интернета"
"breaking a sweat";"прилагая усилия";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/YnJlYWtpbmcgYSBzd2VhdA==37315a95.mp3]";;;"Мой словарь"
"mediocre";"посредственный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2075294.png'>";"midioukə";"They're painfully overpriced and the <b>mediocre</b> quality doesn't justify the cost.";"[sound:https://audiocdn.lingualeo.com/v2/1/bWVkaW9jcmU=9437bfa7.mp3]";"They're painfully overpriced and the {{c1::mediocre}} quality doesn't justify the cost.";;"Слова из интернета"
"deserve";"заслуживать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3245464.png'>";"dɪˈzɜːrv";"You ain't got the guts to <b>deserve</b> to live.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGVzZXJ2ZQ==0c30df1f.mp3]";"You ain't got the guts to {{c1::deserve}} to live.";;"Мой словарь"
"albeit";"хотя";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1261586.png'>";"ɔːlbˈiːɪt";"Let’s say we’ve written a Detective class, <b>albeit</b> one without much to do just yet:";"[sound:https://audiocdn.lingualeo.com/v2/1/YWxiZWl0424eb2fd.mp3]";"Let’s say we’ve written a Detective class, {{c1::albeit}} one without much to do just yet:";;"Слова из интернета"
"arrange";"договариваться";;"əˈreɪnʤ";"<b>Arrange</b> — Set up the environment for our test.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXJyYW5nZQ==2f303a46.mp3]";"{{c1::Arrange}} — Set up the environment for our test.";;"Слова из интернета"
"still have to put";"всё ещё нужно";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/c3RpbGwgaGF2ZSB0byBwdXQ=466ce2a4.mp3]";;;"Мой словарь"
"humbling";"унизительный";;"hˈʌmblɪŋ";"into my work flow and it’s been very <b>humbling</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/aHVtYmxpbmc=3b29c18a.mp3]";"into my work flow and it’s been very {{c1::humbling}}.";;"Слова из интернета"
"hollow";"полый. пустой";"<img src='https://contentcdn.lingualeo.com/uploads/picture/5841.png'>";"ˈhɑloʊ";"The bottom frame of the keyboard (silver in color) has some <b>hollow</b> areas, so I filled those with some paper cards and scotch tapes, (not more than couple of millimeters depending on your level of flex).";"[sound:https://audiocdn.lingualeo.com/v2/1/aG9sbG932a5fd533.mp3]";"The bottom frame of the keyboard (silver in color) has some {{c1::hollow}} areas, so I filled those with some paper cards and scotch tapes, (not more than couple of millimeters depending on your level of flex).";;"Мой словарь"
"burden";"бремя";"<img src='https://contentcdn.lingualeo.com/uploads/picture/35191.png'>";"ˈbɜrdən";"The approach will relieve you from a <b>burden</b> of thinking about the right name every time you implement a new service object and will also be clear for other programmers how to use service object even without having a peek inside its implementation.";"[sound:https://audiocdn.lingualeo.com/v2/1/YnVyZGVub7fcdd36.mp3]";"The approach will relieve you from a {{c1::burden}} of thinking about the right name every time you implement a new service object and will also be clear for other programmers how to use service object even without having a peek inside its implementation.";;"Слова из интернета"
"Excel";"выделяться";;"ɪkˈsɛl";"While service objects <b>excel</b> in orchestrating multiple actions, we should ensure that only one set of such actions is executed.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXhjZWw=af59735d.mp3]";"While service objects {{c1::excel}} in orchestrating multiple actions, we should ensure that only one set of such actions is executed.";;"Слова из интернета"
"necessity";"необходимость";;"nəˈsɛsəti";"While sometimes such <b>necessity</b> can be avoided by subclassing the existing or introducing the new query objects, sooner or later we will need to accept some extra options to query object we’ve introduced.";"[sound:https://audiocdn.lingualeo.com/v2/1/bmVjZXNzaXR57737eee5.mp3]";"While sometimes such {{c1::necessity}} can be avoided by subclassing the existing or introducing the new query objects, sooner or later we will need to accept some extra options to query object we’ve introduced.";;"Слова из интернета"
"relieve";"облегчать";;"rɪlˈiːv";"The approach will <b>relieve</b> you from a burden of thinking about the right name every time you implement a new service object and will also be clear for other programmers how to use service object even without having a peek inside its implementation.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVsaWV2ZQ==0eeab24e.mp3]";"The approach will {{c1::relieve}} you from a burden of thinking about the right name every time you implement a new service object and will also be clear for other programmers how to use service object even without having a peek inside its implementation.";;"Слова из интернета"
"puke";"блевать";;"pjˈuːk";"I could <b>puke</b> every time I hear it";"[sound:https://audiocdn.lingualeo.com/v2/1/cHVrZQ==7a1deee3.mp3]";"I could {{c1::puke}} every time I hear it";;"Мой словарь"
"acquired";"приобретенный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/45729.png'>";"əˈkwaɪərd";"Escaped monkeys <b>acquired</b> a taste for alcohol";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNxdWlyZWQ=d3097fe5.mp3]";"Escaped monkeys {{c1::acquired}} a taste for alcohol";;"Мой словарь"
"akin";"похожий";"<img src='https://contentcdn.lingualeo.com/uploads/picture/61334.png'>";"əkˈɪn";;"[sound:https://audiocdn.lingualeo.com/v2/1/YWtpbg==ade59e88.mp3]";;;"Мой словарь"
"concerning";"относительно";;"kənˈsɜrnɪŋ";"<b>concerning</b> life";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29uY2VybmluZw==0753866f.mp3]";"{{c1::concerning}} life";;"Мой словарь"
"tangential";"касательно";;"tændʒˈenʃl";"To have meant the advent of a <b>tangential</b> narrative in which we don't meet";"[sound:https://audiocdn.lingualeo.com/v2/1/dGFuZ2VudGlhbA==ae3fca17.mp3]";"To have meant the advent of a {{c1::tangential}} narrative in which we don't meet";;"Мой словарь"
"warrant";"гарантировать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/296747.png'>";"ˈwɔrənt";"Now, wouldn't that <b>warrant</b> a good word to the captain?";"[sound:https://audiocdn.lingualeo.com/v2/1/d2FycmFudA==220da598.mp3]";"Now, wouldn't that {{c1::warrant}} a good word to the captain?";;"Мой словарь"
"swim down";"нырять";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/c3dpbSBkb3du5b8e61a6.mp3]";;;"Мой словарь"
"ancestor";"предок";"<img src='https://contentcdn.lingualeo.com/uploads/picture/362721.png'>";"ˈænsɛstə";"I mean, that's my <b>ancestor</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/YW5jZXN0b3I=1f699ab6.mp3]";"I mean, that's my {{c1::ancestor}}.";;"Мой словарь"
"to infinity and beyond";"бесконечность не предел";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3267625.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gaW5maW5pdHkgYW5kIGJleW9uZA==6f86b9d6.mp3]";;;"Мой словарь"
"innocuous";"безобидный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/420167.png'>";"ɪnˈɒkjʊəːs";"<b>Innocuous</b>, I mean, innocent.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW5ub2N1b3Vzbbc8829f.mp3]";"{{c1::Innocuous}}, I mean, innocent.";;"Мой словарь"
"characterization";"характеристика";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3225043.png'>";"ˌkɛrəktərɪˈzeɪʃən";"Why not help me develop my <b>characterization</b>?";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2hhcmFjdGVyaXphdGlvbg==626f06e5.mp3]";"Why not help me develop my {{c1::characterization}}?";;"Мой словарь"
"facilitate";"облегчать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/489095.png'>";"fəˈsɪləˌteɪt";"- To <b>facilitate</b> your disappearance.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmFjaWxpdGF0ZQ==7195a74e.mp3]";"- To {{c1::facilitate}} your disappearance.";;"Мой словарь"
"outage";"перебой в работе";"<img src='https://contentcdn.lingualeo.com/uploads/picture/330826.png'>";"ˈaʊːtɪdʒ";"Due to a power <b>outage</b>, only one paramedic was available to respond to the call";"[sound:https://audiocdn.lingualeo.com/v2/1/b3V0YWdle79f77a2.mp3]";"Due to a power {{c1::outage}}, only one paramedic was available to respond to the call";;"Мой словарь"
"frankly";"откровенно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2921828.png'>";"frˈæŋkli";"TK: Lots of loudspeakers, quite <b>frankly</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/ZnJhbmtseQ==13c5d8ec.mp3]";"TK: Lots of loudspeakers, quite {{c1::frankly}}";;"Мой словарь"
"coast";"побережье";"<img src='https://contentcdn.lingualeo.com/uploads/picture/11222.png'>";"koʊst";"And below us somewhere was the French <b>coast</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29hc3Q=ddb7400b.mp3]";"And below us somewhere was the French {{c1::coast}}.";;"Мой словарь"
"pluck";"срывать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/129421.png'>";"plˈʌk";"They will <b>pluck</b> her, they will take everything.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGx1Y2s=d72cd1f9.mp3]";"They will {{c1::pluck}} her, they will take everything.";;"Мой словарь"
"bells and whistles";"свистелки и перделки";"<img src='https://contentcdn.lingualeo.com/uploads/picture/432918.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/YmVsbHMgYW5kIHdoaXN0bGVz3f43b49a.mp3]";;;"Мой словарь"
"tbh";"если честно";;;"<b>Tbh</b>, this song is still a bit out there, even by today’s standards ";"[sound:https://audiocdn.lingualeo.com/v2/1/dGJo9f221eaa.mp3]";"{{c1::Tbh}}, this song is still a bit out there, even by today’s standards ";;"Слова из интернета"
"principal";"главный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/127310.png'>";"ˈprɪnsəpəl";"belongs_to :<b>principal</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/cHJpbmNpcGFs267c01e2.mp3]";"belongs_to :{{c1::principal}}";;"Слова из интернета"
"bizarre";"странный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1578230.png'>";"bəˈzɑr";"That is very <b>bizarre</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/Yml6YXJyZQ==9c45cea0.mp3]";"That is very {{c1::bizarre}}.";;"Слова из интернета"
"given that";"учитывая, что";;;"These facts alone make him an unlikely romantic partner for me, <b>given that</b> I am a professional American woman in my mid-thirties, who has just come through a failed marriage and a devastating, interminable divorce, followed immediately by a passionate lov";"[sound:https://audiocdn.lingualeo.com/v2/1/Z2l2ZW4gdGhhdA==fb7b5398.mp3]";"These facts alone make him an unlikely romantic partner for me, {{c1::given that}} I am a professional American woman in my mid-thirties, who has just come through a failed marriage and a devastating, interminable divorce, followed immediately by a passionate lov";;"Мой словарь"
"All else equal";"при прочих равных";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/QWxsIGVsc2UgZXF1YWw=c9f8e3ce.mp3]";;;"Мой словарь"
"interfere";"мешать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1639974.png'>";"ɪntəfˈɪəː";"Why do you <b>interfere</b> with my little romances?";"[sound:https://audiocdn.lingualeo.com/v2/1/aW50ZXJmZXJl6c175d76.mp3]";"Why do you {{c1::interfere}} with my little romances?";;"Мой словарь"
"nudge";"лёгкий толчок локтем";"<img src='https://contentcdn.lingualeo.com/uploads/picture/32121.png'>";"nˈʌdʒ";"A little later, I felt a <b>nudge</b> on my foot";"[sound:https://audiocdn.lingualeo.com/v2/1/bnVkZ2U=03396094.mp3]";"A little later, I felt a {{c1::nudge}} on my foot";;"Мой словарь"
"top-notch";"первоклассный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/88331.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG9wLW5vdGNoeaa9c969.mp3]";;;"Мой словарь"
"jaw-dropping";"удивительный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/582449.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/amF3LWRyb3BwaW5n49d22a3e.mp3]";;;"Мой словарь"
"hesitate";"стесняться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/515139.png'>";"hˈezɪtɛɪːt";"Please don't <b>hesitate</b> to contact me if you are looking for a fun and easy way to learn by means of conversation of to learn by means of an outlined lesson";"[sound:https://audiocdn.lingualeo.com/v2/1/aGVzaXRhdGU=8a027fb1.mp3]";"Please don't {{c1::hesitate}} to contact me if you are looking for a fun and easy way to learn by means of conversation of to learn by means of an outlined lesson";;"Слова из интернета"
"scoop";"ковш";;"skˈuːp";"Write reviews of your past employers—and give others the inside <b>scoop</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/c2Nvb3A=5cc6a770.mp3]";"Write reviews of your past employers—and give others the inside {{c1::scoop}}.";;"Слова из интернета"
"sincerely";"С уважением";;"sɪnsˈɪəːli";"""<b>Sincerely</b> yours, Wade Kingsley, Junior,";"[sound:https://audiocdn.lingualeo.com/v2/1/c2luY2VyZWx5713e5ed3.mp3]";"""{{c1::Sincerely}} yours, Wade Kingsley, Junior,";;"Мой словарь"
"virtually";"фактически. фактически";"<img src='https://contentcdn.lingualeo.com/uploads/picture/146840.png'>";"ˈvɜrʧuəli";"The internet is a fantastic resource for <b>virtually</b> anything, but for the language learner it's perfect";"[sound:https://audiocdn.lingualeo.com/v2/1/dmlydHVhbGx5869af90c.mp3]";"The internet is a fantastic resource for {{c1::virtually}} anything, but for the language learner it's perfect";;"Слова из интернета"
"from my observation";"по моему наблюдению";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/ZnJvbSBteSBvYnNlcnZhdGlvbg==a49d2475.mp3]";;;"Мой словарь"
"all kidding aside";"шутки в сторону";"<img src='https://contentcdn.lingualeo.com/uploads/picture/396508.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/YWxsIGtpZGRpbmcgYXNpZGU=7fb58e5a.mp3]";;;"Мой словарь"
"lossless";"без потерь";"<img src='https://contentcdn.lingualeo.com/uploads/picture/725817.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/bG9zc2xlc3M=bd29df36.mp3]";;;"Мой словарь"
"split up";"расходиться, расставаться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/114865.png'>";"splˈɪt ʌp";"“Oh no, Roger, why did you two <b>split up</b>?”";"[sound:https://audiocdn.lingualeo.com/v2/1/c3BsaXQgdXA=7c43d2f7.mp3]";"“Oh no, Roger, why did you two {{c1::split up}}?”";;"Мой словарь"
"likelihood";"вероятность";;"ˈlaɪkliˌhʊd";"Because not every breaking change will affect every project, we've sorted the sections by the <b>likelihood</b> of a change breaking tests when upgrading.";"[sound:https://audiocdn.lingualeo.com/v2/1/bGlrZWxpaG9vZA==3c02585c.mp3]";"Because not every breaking change will affect every project, we've sorted the sections by the {{c1::likelihood}} of a change breaking tests when upgrading.";;"Слова из интернета"
"vague";"неясный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/436949.png'>";"veɪg";"By avoiding <b>vague</b> messages such as ""expected false to be true"" in favour of useful cues such as ""expected 3 to be even number"" and avoiding implementation noise such as expect(paws.length % 2 === 0).toEqual(true) in favour of simply stating that you expec";"[sound:https://audiocdn.lingualeo.com/v2/1/dmFndWU=5b8ae058.mp3]";"By avoiding {{c1::vague}} messages such as ""expected false to be true"" in favour of useful cues such as ""expected 3 to be even number"" and avoiding implementation noise such as expect(paws.length % 2 === 0).toEqual(true) in favour of simply stating that you expec";;"Слова из интернета"
"at this point";"в этот момент";"<img src='https://contentcdn.lingualeo.com/uploads/picture/317561.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/YXQgdGhpcyBwb2ludA==ee7d2d98.mp3]";;;"Мой словарь"
"bring up";"воспитывать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3237169.png'>";"brɪŋ ʌp";;"[sound:https://audiocdn.lingualeo.com/v2/1/YnJpbmcgdXA=0ff756ec.mp3]";;;"Мой словарь"
"perceptual";"относящийся к восприятию";;"pəsˈeptjʊəːl";"How can I get the <b>perceptual</b> image hash value of an image using the command line?";"[sound:https://audiocdn.lingualeo.com/v2/1/cGVyY2VwdHVhbA==dca3db70.mp3]";"How can I get the {{c1::perceptual}} image hash value of an image using the command line?";;"Слова из интернета"
"flaw";"недостаток";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1416574.png'>";"flˈɔː";"There's only one <b>flaw</b> in sending Miss Partridge to Washington.";"[sound:https://audiocdn.lingualeo.com/v2/1/Zmxhdw==47d899c7.mp3]";"There's only one {{c1::flaw}} in sending Miss Partridge to Washington.";;"Мой словарь"
"riot";"бунт";"<img src='https://contentcdn.lingualeo.com/uploads/picture/19412.png'>";"ˈraɪət";"Looks like a <b>riot</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmlvdA==057f0694.mp3]";"Looks like a {{c1::riot}}.";;"Мой словарь"
"constitute";"составлять";"<img src='https://contentcdn.lingualeo.com/uploads/picture/472814.png'>";"ˈkɑnstəˌtut";" Classic cars are recognised by various collectors' organisations such as the Classic Car Club of America, who effectively regulate the qualifying attributes that <b>constitute</b> classic status";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29uc3RpdHV0ZQ==4900b77c.mp3]";" Classic cars are recognised by various collectors' organisations such as the Classic Car Club of America, who effectively regulate the qualifying attributes that {{c1::constitute}} classic status";;"Мой словарь"
"battle-hardened";"закаленный в боях";"<img src='https://contentcdn.lingualeo.com/uploads/picture/176262.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/YmF0dGxlLWhhcmRlbmVk8f245c4e.mp3]";;;"Мой словарь"
"Never mind";"Ничего страшного.";;"nˈevə mˈaɪnd";"<b>Never mind</b>, I'll find someone like you, I wish nothing but the best for you, too, Don't forget me, I beg, I remember you said, ""Sometimes it lasts in love, But sometimes it hurts instead,""";"[sound:https://audiocdn.lingualeo.com/v2/1/bmV2ZXIgbWluZA==32783fdb.mp3]";"{{c1::Never mind}}, I'll find someone like you, I wish nothing but the best for you, too, Don't forget me, I beg, I remember you said, ""Sometimes it lasts in love, But sometimes it hurts instead,""";;"Мой словарь"
"overkill";"крайность";"<img src='https://contentcdn.lingualeo.com/uploads/picture/410251.png'>";"ouvəkɪl";"It seems like <b>overkill</b>, but headless Chrome has a great SVG rendering engine, and it was the easiest way to get bounding boxes to work, and to export the SVG assets as pngs.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3ZlcmtpbGw=99666593.mp3]";"It seems like {{c1::overkill}}, but headless Chrome has a great SVG rendering engine, and it was the easiest way to get bounding boxes to work, and to export the SVG assets as pngs.";;"Слова из интернета"
"interchangeable";"взаимозаменяемый";;"ˌɪntərˈʧeɪnʤəbəl";"The two approaches are not <b>interchangeable</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW50ZXJjaGFuZ2VhYmxl89d56953.mp3]";"The two approaches are not {{c1::interchangeable}}.";;"Слова из интернета"
"yada yada";"бла-бла-бла, пустая болтовня, трёп";"<img src='https://contentcdn.lingualeo.com/uploads/picture/770177.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/eWFkYSB5YWRhc24bc7c0.mp3]";;;"Мой словарь"
"d'oh";"Блин";;"dou";"Homer: <b>D'oh</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/ZCdvaA==7643bda6.mp3]";"Homer: {{c1::D'oh}}";;"Мой словарь"
"rumor";"сплетни";"<img src='https://contentcdn.lingualeo.com/uploads/picture/573362.png'>";"rˈuːmə";"Ain't it funny rumors fly";"[sound:https://audiocdn.lingualeo.com/v2/1/cnVtb3I=bbccc68e.mp3]";"Ain't it funny rumors fly";;"Мой словарь"
"It feels weird";"странно";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/SXQgZmVlbHMgd2VpcmQ=ecee20eb.mp3]";;;"Мой словарь"
